datetime,pm25,pm10,no2,o3,co,temperature,humidity,wind_speed,hour,day_of_week,month,day_of_year
2024-01-03 17:00:00,21.4,20.9,7.9,25.4,611.6,22.5,79.7,4.9,17,2,1,3
2024-01-03 18:00:00,25.1,53.9,17.9,53.5,507.1,17.6,72.9,4.0,18,2,1,3
2024-01-03 19:00:00,,,,,,,,,19,2,1,3
2024-01-03 20:00:00,,,,,,,,,20,2,1,3
2024-01-03 21:00:00,11.7,9.4,7.8,33.8,569.9,17.9,77.8,4.1,21,2,1,3
2024-01-03 22:00:00,15.9,16.3,8.6,49.0,366.9,20.4,74.0,3.6,22,2,1,3
2024-01-03 23:00:00,22.6,14.0,6.0,22.2,400.3,22.0,73.0,4.8,23,2,1,3
2024-01-04 00:00:00,14.4,18.6,15.7,37.6,346.5,23.1,72.7,3.5,0,3,1,4
2024-01-04 01:00:00,23.3,18.2,9.7,60.5,247.7,22.2,72.5,3.3,1,3,1,4
2024-01-04 02:00:00,,,,,,,,,2,3,1,4
2024-01-04 03:00:00,18.6,10.1,18.0,43.8,358.1,20.5,69.3,4.1,3,3,1,4
2024-01-04 04:00:00,14.9,19.1,11.8,31.8,232.1,18.9,77.6,3.5,4,3,1,4
2024-01-04 05:00:00,13.3,18.2,10.5,34.8,393.9,22.5,65.9,4.7,5,3,1,4
2024-01-04 06:00:00,,,,,,,,,6,3,1,4
2024-01-04 07:00:00,12.0,15.9,16.7,21.1,552.1,22.0,80.9,3.1,7,3,1,4
2024-01-04 08:00:00,20.4,30.2,25.3,55.6,387.8,21.4,68.8,3.0,8,3,1,4
2024-01-04 09:00:00,24.3,38.4,18.3,33.8,725.9,23.0,74.4,4.8,9,3,1,4
2024-01-04 10:00:00,22.7,19.0,9.0,33.1,408.9,20.9,72.6,3.8,10,3,1,4
2024-01-04 11:00:00,12.5,13.6,15.8,26.2,248.8,20.1,75.6,3.4,11,3,1,4
2024-01-04 12:00:00,11.4,17.7,16.8,55.3,659.6,21.6,74.1,4.1,12,3,1,4
2024-01-04 13:00:00,,,,,,,,,13,3,1,4
2024-01-04 14:00:00,19.2,24.0,18.7,36.0,237.6,21.9,66.7,5.0,14,3,1,4
2024-01-04 15:00:00,16.1,17.9,12.4,42.7,282.4,19.9,77.2,4.8,15,3,1,4
2024-01-04 16:00:00,12.4,10.3,12.1,38.2,225.5,22.0,73.6,3.5,16,3,1,4
2024-01-04 17:00:00,17.0,16.0,15.5,18.4,533.2,21.9,66.2,4.4,17,3,1,4
2024-01-04 18:00:00,27.0,36.1,16.1,33.6,882.6,20.6,71.2,3.8,18,3,1,4
2024-01-04 19:00:00,,,,,,,,,19,3,1,4
2024-01-04 20:00:00,21.2,29.0,17.2,22.4,753.0,22.7,65.5,3.7,20,3,1,4
2024-01-04 21:00:00,13.2,12.1,6.5,26.4,515.7,17.8,71.7,4.3,21,3,1,4
2024-01-04 22:00:00,12.9,20.7,7.7,34.5,329.8,18.3,79.8,4.1,22,3,1,4
2024-01-04 23:00:00,9.4,14.4,13.3,30.6,402.5,20.5,75.5,4.5,23,3,1,4
2024-01-05 00:00:00,,,,,,,,,0,4,1,5
2024-01-05 01:00:00,16.1,16.0,19.6,26.3,339.8,23.3,74.5,3.9,1,4,1,5
2024-01-05 02:00:00,,,,,,,,,2,4,1,5
2024-01-05 03:00:00,13.9,15.9,17.8,39.9,141.2,23.3,81.4,3.0,3,4,1,5
2024-01-05 04:00:00,9.7,30.1,11.7,52.8,295.5,23.8,69.4,4.2,4,4,1,5
2024-01-05 05:00:00,,,,,,,,,5,4,1,5
2024-01-05 06:00:00,13.4,19.8,7.4,36.6,347.7,22.9,70.5,3.8,6,4,1,5
2024-01-05 07:00:00,17.6,25.8,23.7,86.6,466.0,18.1,73.4,4.8,7,4,1,5
2024-01-05 08:00:00,,,,,,,,,8,4,1,5
2024-01-05 09:00:00,,,,,,,,,9,4,1,5
2024-01-05 10:00:00,26.2,16.3,20.2,88.1,246.6,21.6,68.2,3.4,10,4,1,5
2024-01-05 11:00:00,,,,,,,,,11,4,1,5
2024-01-05 12:00:00,16.1,13.5,10.7,23.5,486.5,19.9,72.2,4.7,12,4,1,5
2024-01-05 13:00:00,,,,,,,,,13,4,1,5
2024-01-05 14:00:00,8.4,12.8,8.1,31.9,348.6,22.1,81.5,4.1,14,4,1,5
2024-01-05 15:00:00,14.8,33.0,10.5,36.5,458.7,20.6,59.8,4.4,15,4,1,5
2024-01-05 16:00:00,15.2,21.0,13.3,90.0,360.6,25.3,74.0,5.0,16,4,1,5
2024-01-05 17:00:00,31.2,19.6,10.0,25.0,417.2,19.9,71.0,3.0,17,4,1,5
2024-01-05 18:00:00,25.3,23.4,31.8,45.9,738.8,23.5,79.1,4.3,18,4,1,5
2024-01-05 19:00:00,29.3,38.8,11.8,28.6,582.0,22.5,68.2,4.6,19,4,1,5
2024-01-05 20:00:00,26.5,31.1,29.8,36.0,747.8,16.5,69.0,4.3,20,4,1,5
2024-01-05 21:00:00,10.5,19.1,14.1,54.8,266.4,23.2,71.3,3.5,21,4,1,5
2024-01-05 22:00:00,,,,,,,,,22,4,1,5
2024-01-05 23:00:00,18.7,18.8,8.1,37.2,348.0,20.4,77.4,4.8,23,4,1,5
2024-01-06 00:00:00,19.3,16.1,5.5,31.2,320.5,21.0,72.7,4.4,0,5,1,6
2024-01-06 01:00:00,11.6,14.5,8.6,45.9,245.7,21.2,79.4,4.0,1,5,1,6
2024-01-06 02:00:00,23.2,22.8,16.5,80.2,371.5,23.0,70.3,3.7,2,5,1,6
2024-01-06 03:00:00,10.0,11.5,11.2,28.2,361.3,19.4,78.7,3.7,3,5,1,6
2024-01-06 04:00:00,18.2,21.6,17.2,87.0,277.6,23.4,68.6,4.4,4,5,1,6
2024-01-06 05:00:00,29.4,22.4,9.2,65.4,221.2,18.1,77.5,4.2,5,5,1,6
2024-01-06 06:00:00,11.3,14.0,14.6,70.0,218.0,16.7,71.9,3.3,6,5,1,6
2024-01-06 07:00:00,19.3,21.4,13.3,45.8,496.3,21.4,78.8,3.3,7,5,1,6
2024-01-06 08:00:00,23.5,25.6,12.2,64.7,587.2,22.7,62.2,3.1,8,5,1,6
2024-01-06 09:00:00,19.6,29.8,16.5,27.0,933.1,19.9,70.5,4.4,9,5,1,6
2024-01-06 10:00:00,9.6,17.5,9.0,31.0,352.3,15.7,80.2,3.6,10,5,1,6
2024-01-06 11:00:00,15.5,20.8,6.7,55.0,219.3,17.2,73.4,3.0,11,5,1,6
2024-01-06 12:00:00,11.1,31.0,10.7,45.6,335.6,21.1,65.9,3.7,12,5,1,6
2024-01-06 13:00:00,17.6,15.7,11.9,38.2,519.8,20.2,70.9,4.7,13,5,1,6
2024-01-06 14:00:00,11.6,10.9,17.8,14.9,291.0,22.8,76.3,3.5,14,5,1,6
2024-01-06 15:00:00,24.2,23.4,15.9,34.0,499.5,20.4,70.3,4.3,15,5,1,6
2024-01-06 16:00:00,12.0,30.3,17.5,25.3,376.4,18.7,80.2,3.9,16,5,1,6
2024-01-06 17:00:00,13.8,20.6,14.7,49.3,433.6,20.8,79.8,4.1,17,5,1,6
2024-01-06 18:00:00,35.0,23.7,23.1,37.5,1122.7,22.3,77.7,4.2,18,5,1,6
2024-01-06 19:00:00,18.9,31.7,13.4,31.5,370.4,22.9,79.5,3.9,19,5,1,6
2024-01-06 20:00:00,,,,,,,,,20,5,1,6
2024-01-06 21:00:00,22.5,22.2,14.1,61.3,347.1,20.4,81.8,4.1,21,5,1,6
2024-01-06 22:00:00,9.4,12.2,19.0,61.8,268.6,21.8,79.8,3.8,22,5,1,6
2024-01-06 23:00:00,16.1,16.7,14.5,97.7,346.5,18.7,73.7,3.4,23,5,1,6
2024-01-07 00:00:00,16.8,13.8,18.0,55.5,595.2,21.7,66.5,4.8,0,6,1,7
2024-01-07 01:00:00,19.7,19.4,8.1,29.6,534.9,19.8,62.8,4.5,1,6,1,7
2024-01-07 02:00:00,10.7,16.7,10.4,28.2,196.6,20.1,79.6,3.6,2,6,1,7
2024-01-07 03:00:00,10.5,19.7,13.6,59.2,284.5,20.3,66.6,4.1,3,6,1,7
2024-01-07 04:00:00,18.2,18.8,17.5,17.7,475.5,20.5,70.0,4.9,4,6,1,7
2024-01-07 05:00:00,17.0,13.9,11.1,39.0,356.0,24.1,77.0,3.5,5,6,1,7
2024-01-07 06:00:00,16.8,22.5,11.3,16.9,356.4,19.3,68.1,4.9,6,6,1,7
2024-01-07 07:00:00,,,,,,,,,7,6,1,7
2024-01-07 08:00:00,19.0,20.8,11.8,56.7,429.8,23.1,75.8,4.1,8,6,1,7
2024-01-07 09:00:00,25.0,54.9,30.7,45.0,357.6,21.1,82.0,5.0,9,6,1,7
2024-01-07 10:00:00,17.0,21.5,8.6,58.6,218.2,21.8,79.8,3.7,10,6,1,7
2024-01-07 11:00:00,12.6,17.8,6.0,88.4,245.7,18.2,61.9,3.6,11,6,1,7
2024-01-07 12:00:00,27.2,28.6,11.7,38.0,271.3,20.7,78.4,3.7,12,6,1,7
2024-01-07 13:00:00,17.9,32.4,21.1,123.8,285.2,21.9,74.6,4.5,13,6,1,7
2024-01-07 14:00:00,10.9,17.9,14.3,43.8,278.4,18.9,74.3,3.7,14,6,1,7
2024-01-07 15:00:00,18.9,20.7,15.2,58.9,486.7,21.5,74.5,3.2,15,6,1,7
2024-01-07 16:00:00,,,,,,,,,16,6,1,7
2024-01-07 17:00:00,19.7,17.9,11.1,77.0,549.7,19.0,82.9,3.4,17,6,1,7
2024-01-07 18:00:00,39.7,31.7,12.2,61.1,557.9,22.3,68.7,3.0,18,6,1,7
2024-01-07 19:00:00,21.9,35.5,9.5,72.6,735.9,22.5,75.0,3.4,19,6,1,7
2024-01-07 20:00:00,,,,,,,,,20,6,1,7
2024-01-07 21:00:00,17.6,22.1,18.5,24.4,273.7,21.1,73.6,4.9,21,6,1,7
2024-01-07 22:00:00,19.9,20.1,13.2,48.4,324.8,22.9,75.7,4.3,22,6,1,7
2024-01-07 23:00:00,27.5,13.0,14.5,20.4,308.2,19.5,75.7,3.6,23,6,1,7
2024-01-08 00:00:00,,,,,,,,,0,0,1,8
2024-01-08 01:00:00,12.7,16.2,13.4,43.2,346.0,19.5,78.6,3.4,1,0,1,8
2024-01-08 02:00:00,12.2,17.5,11.4,103.7,287.3,18.2,85.2,4.8,2,0,1,8
2024-01-08 03:00:00,,,,,,,,,3,0,1,8
2024-01-08 04:00:00,15.5,13.5,24.2,42.4,398.2,18.0,73.7,3.2,4,0,1,8
2024-01-08 05:00:00,17.6,17.1,14.3,39.1,626.4,21.1,76.4,3.7,5,0,1,8
2024-01-08 06:00:00,17.3,25.4,8.6,23.4,367.0,18.7,85.1,4.1,6,0,1,8
2024-01-08 07:00:00,30.6,26.2,11.9,41.5,541.0,17.5,69.2,4.6,7,0,1,8
2024-01-08 08:00:00,23.9,32.9,27.7,41.7,613.4,21.8,78.7,4.8,8,0,1,8
2024-01-08 09:00:00,36.9,27.4,12.4,27.2,405.7,21.6,78.7,3.3,9,0,1,8
2024-01-08 10:00:00,14.7,20.6,22.8,24.9,214.3,19.6,73.5,4.7,10,0,1,8
2024-01-08 11:00:00,36.0,17.8,4.5,33.0,327.5,21.7,73.0,3.1,11,0,1,8
2024-01-08 12:00:00,19.2,23.3,19.6,41.1,496.0,18.7,73.7,3.5,12,0,1,8
2024-01-08 13:00:00,12.3,12.0,14.1,33.4,520.7,19.5,78.4,3.0,13,0,1,8
2024-01-08 14:00:00,11.5,17.1,12.4,26.3,204.6,21.1,82.2,3.1,14,0,1,8
2024-01-08 15:00:00,18.4,20.9,11.2,45.0,439.2,22.3,78.6,3.1,15,0,1,8
2024-01-08 16:00:00,14.9,22.4,23.1,49.7,186.7,19.5,68.6,3.3,16,0,1,8
2024-01-08 17:00:00,19.7,29.9,15.3,42.1,412.7,19.1,82.4,4.8,17,0,1,8
2024-01-08 18:00:00,33.0,30.5,15.6,32.0,729.7,22.2,80.8,3.6,18,0,1,8
2024-01-08 19:00:00,28.0,53.5,11.8,50.8,385.9,21.5,73.7,4.0,19,0,1,8
2024-01-08 20:00:00,22.2,28.2,22.8,37.1,873.8,20.6,71.6,4.0,20,0,1,8
2024-01-08 21:00:00,10.1,28.4,11.9,24.9,606.8,22.6,70.3,5.0,21,0,1,8
2024-01-08 22:00:00,,,,,,,,,22,0,1,8
2024-01-08 23:00:00,,,,,,,,,23,0,1,8
2024-01-09 00:00:00,17.3,21.4,10.0,38.0,562.4,19.1,80.6,4.9,0,1,1,9
2024-01-09 01:00:00,11.2,19.2,12.2,21.3,257.4,21.3,72.9,4.2,1,1,1,9
2024-01-09 02:00:00,17.1,23.5,15.7,29.6,259.4,18.7,76.5,3.6,2,1,1,9
2024-01-09 03:00:00,18.2,18.2,20.5,89.4,280.5,22.8,58.0,3.6,3,1,1,9
2024-01-09 04:00:00,12.5,17.8,16.7,21.8,364.9,18.9,66.3,3.2,4,1,1,9
2024-01-09 05:00:00,17.0,29.4,9.5,36.0,364.6,19.9,71.7,4.1,5,1,1,9
2024-01-09 06:00:00,16.5,18.9,13.9,39.6,305.7,18.6,70.6,4.4,6,1,1,9
2024-01-09 07:00:00,17.3,37.4,18.7,45.3,494.7,20.7,78.9,3.9,7,1,1,9
2024-01-09 08:00:00,27.1,27.3,11.5,21.9,460.4,20.7,76.6,4.8,8,1,1,9
2024-01-09 09:00:00,28.8,48.2,21.0,42.7,467.1,21.8,84.8,4.0,9,1,1,9
2024-01-09 10:00:00,22.5,15.9,23.3,20.3,286.6,20.5,77.7,3.7,10,1,1,9
2024-01-09 11:00:00,22.3,16.2,12.3,41.4,287.3,20.4,71.9,3.5,11,1,1,9
2024-01-09 12:00:00,10.7,30.8,7.0,30.7,198.0,19.2,81.2,3.5,12,1,1,9
2024-01-09 13:00:00,12.3,17.0,12.3,28.2,337.5,19.7,72.8,3.6,13,1,1,9
2024-01-09 14:00:00,18.9,31.5,8.0,55.7,200.7,17.5,72.5,5.0,14,1,1,9
2024-01-09 15:00:00,18.9,25.5,16.5,36.3,452.0,23.1,75.1,3.7,15,1,1,9
2024-01-09 16:00:00,18.9,18.6,14.6,48.2,305.1,20.1,83.2,4.0,16,1,1,9
2024-01-09 17:00:00,51.6,11.3,11.5,48.8,348.2,23.6,80.4,3.5,17,1,1,9
2024-01-09 18:00:00,34.7,34.9,19.5,66.2,580.8,20.1,80.2,3.3,18,1,1,9
2024-01-09 19:00:00,41.1,36.2,20.3,24.6,603.7,16.5,84.9,4.3,19,1,1,9
2024-01-09 20:00:00,38.9,49.8,22.0,57.6,948.9,19.4,80.1,4.1,20,1,1,9
2024-01-09 21:00:00,19.7,31.4,9.3,40.1,240.6,20.3,69.0,3.1,21,1,1,9
2024-01-09 22:00:00,14.8,15.9,7.5,34.3,221.8,20.4,77.8,4.8,22,1,1,9
2024-01-09 23:00:00,20.4,24.8,18.1,25.2,374.0,21.7,83.2,4.0,23,1,1,9
2024-01-10 00:00:00,13.1,25.0,10.9,50.5,312.1,20.7,67.8,3.7,0,2,1,10
2024-01-10 01:00:00,,,,,,,,,1,2,1,10
2024-01-10 02:00:00,14.3,23.1,13.7,48.8,449.0,18.5,70.0,3.2,2,2,1,10
2024-01-10 03:00:00,17.0,11.1,13.9,85.7,259.9,19.5,76.0,3.9,3,2,1,10
2024-01-10 04:00:00,33.2,19.0,8.2,58.7,434.0,21.5,81.0,4.1,4,2,1,10
2024-01-10 05:00:00,9.5,14.1,6.9,69.2,266.5,22.0,82.1,4.6,5,2,1,10
2024-01-10 06:00:00,20.4,18.7,10.1,29.7,370.3,19.0,74.4,3.7,6,2,1,10
2024-01-10 07:00:00,15.3,40.0,21.4,53.8,374.8,22.3,78.7,4.7,7,2,1,10
2024-01-10 08:00:00,21.6,32.7,14.5,25.1,565.2,21.5,67.8,4.4,8,2,1,10
2024-01-10 09:00:00,34.5,42.1,16.5,36.1,539.8,18.6,66.6,4.5,9,2,1,10
2024-01-10 10:00:00,16.9,22.0,26.2,79.5,260.1,20.8,81.0,4.9,10,2,1,10
2024-01-10 11:00:00,12.0,13.5,6.5,31.1,240.9,21.1,60.2,4.7,11,2,1,10
2024-01-10 12:00:00,13.4,9.3,9.5,61.8,453.6,18.2,71.9,3.7,12,2,1,10
2024-01-10 13:00:00,20.3,20.8,24.1,59.5,316.1,17.6,78.8,4.3,13,2,1,10
2024-01-10 14:00:00,13.3,18.7,12.2,60.9,490.6,21.3,76.5,4.7,14,2,1,10
2024-01-10 15:00:00,17.7,14.8,9.7,23.9,307.7,19.4,61.2,4.1,15,2,1,10
2024-01-10 16:00:00,16.8,11.9,18.7,48.9,535.2,23.4,78.0,4.4,16,2,1,10
2024-01-10 17:00:00,13.6,16.0,12.7,37.2,272.5,23.8,71.1,3.3,17,2,1,10
2024-01-10 18:00:00,56.8,33.8,19.8,61.3,1014.0,21.3,76.0,4.6,18,2,1,10
2024-01-10 19:00:00,36.1,43.7,23.9,20.4,686.9,22.2,72.2,4.5,19,2,1,10
2024-01-10 20:00:00,16.2,37.9,17.8,45.9,734.9,18.3,71.9,4.8,20,2,1,10
2024-01-10 21:00:00,,,,,,,,,21,2,1,10
2024-01-10 22:00:00,13.6,14.6,11.9,17.9,450.7,20.0,73.6,4.8,22,2,1,10
2024-01-10 23:00:00,21.4,25.9,8.7,27.8,455.4,17.8,81.5,3.3,23,2,1,10
2024-01-11 00:00:00,13.3,20.6,12.7,19.0,329.7,21.0,73.5,4.6,0,3,1,11
2024-01-11 01:00:00,16.3,25.0,14.4,29.5,191.6,18.8,73.7,4.9,1,3,1,11
2024-01-11 02:00:00,19.7,17.8,17.1,49.1,260.2,20.7,72.1,4.6,2,3,1,11
2024-01-11 03:00:00,21.9,28.0,18.8,42.6,260.2,20.0,69.2,4.2,3,3,1,11
2024-01-11 04:00:00,11.8,22.2,11.0,42.2,415.9,21.6,70.6,4.9,4,3,1,11
2024-01-11 05:00:00,15.3,16.6,15.1,26.0,316.1,21.0,76.7,3.2,5,3,1,11
2024-01-11 06:00:00,14.7,20.2,15.1,61.7,318.0,19.6,87.9,3.0,6,3,1,11
2024-01-11 07:00:00,20.9,28.3,21.3,39.1,460.0,17.6,80.5,4.9,7,3,1,11
2024-01-11 08:00:00,43.1,35.3,16.1,40.0,847.1,20.7,78.7,4.4,8,3,1,11
2024-01-11 09:00:00,28.6,21.4,13.3,57.4,552.6,16.9,85.6,3.2,9,3,1,11
2024-01-11 10:00:00,11.6,20.1,15.1,26.5,385.6,22.9,77.9,3.7,10,3,1,11
2024-01-11 11:00:00,22.3,22.9,7.0,43.2,301.8,21.4,81.0,4.5,11,3,1,11
2024-01-11 12:00:00,32.0,20.5,11.6,46.7,360.2,22.0,76.7,4.5,12,3,1,11
2024-01-11 13:00:00,23.1,30.4,5.2,31.7,271.2,18.4,77.9,3.3,13,3,1,11
2024-01-11 14:00:00,10.7,25.6,7.9,51.2,402.9,21.1,68.6,3.9,14,3,1,11
2024-01-11 15:00:00,14.6,20.3,9.3,47.7,257.7,19.0,74.1,4.6,15,3,1,11
2024-01-11 16:00:00,24.7,21.7,18.6,37.9,454.3,20.7,72.8,4.9,16,3,1,11
2024-01-11 17:00:00,13.7,22.2,16.1,37.4,291.5,18.4,72.5,4.2,17,3,1,11
2024-01-11 18:00:00,34.8,41.2,18.8,48.6,869.5,20.2,72.2,4.3,18,3,1,11
2024-01-11 19:00:00,38.4,21.1,29.5,54.0,1159.3,17.6,82.8,3.9,19,3,1,11
2024-01-11 20:00:00,23.1,33.4,31.2,40.4,654.4,20.0,73.8,4.1,20,3,1,11
2024-01-11 21:00:00,16.6,13.0,12.0,61.7,538.6,17.1,74.9,3.2,21,3,1,11
2024-01-11 22:00:00,6.4,29.8,7.8,51.3,455.3,23.9,86.9,3.7,22,3,1,11
2024-01-11 23:00:00,12.4,19.9,11.8,19.3,236.5,20.7,79.5,4.0,23,3,1,11
2024-01-12 00:00:00,16.0,19.5,12.5,22.4,377.0,20.4,75.9,3.5,0,4,1,12
2024-01-12 01:00:00,11.9,27.1,8.4,62.9,423.9,21.7,81.1,3.7,1,4,1,12
2024-01-12 02:00:00,28.2,23.5,14.7,35.5,436.3,17.8,72.5,4.9,2,4,1,12
2024-01-12 03:00:00,,,,,,,,,3,4,1,12
2024-01-12 04:00:00,15.1,20.3,15.1,61.9,383.2,21.5,74.0,3.6,4,4,1,12
2024-01-12 05:00:00,17.9,18.7,14.3,39.1,365.3,20.7,77.1,4.2,5,4,1,12
2024-01-12 06:00:00,26.6,12.3,16.7,39.8,379.6,19.0,78.2,3.6,6,4,1,12
2024-01-12 07:00:00,16.8,25.2,18.2,27.7,379.0,21.7,71.1,4.4,7,4,1,12
2024-01-12 08:00:00,36.7,29.4,20.8,45.5,509.6,21.0,77.9,3.6,8,4,1,12
2024-01-12 09:00:00,26.0,30.0,16.9,49.6,353.8,21.4,78.9,4.3,9,4,1,12
2024-01-12 10:00:00,12.9,13.3,10.5,31.1,314.1,21.2,73.5,4.7,10,4,1,12
2024-01-12 11:00:00,19.8,29.3,20.7,27.1,305.5,19.0,75.0,4.3,11,4,1,12
2024-01-12 12:00:00,,,,,,,,,12,4,1,12
2024-01-12 13:00:00,,,,,,,,,13,4,1,12
